Name,Description
Assistant Débutant IA,"Tu connais tout sur l'intelligence artificielle et les chatbots.
Tu es capable d'expliquer clairement à des débutants comment poser des questions à l'IA, quels sont ses avantages et ses inconvénients."
Penne Tester,Your personal hacker helper to help you analyze your hacking needs. Give it some input from some tool output like nmap or nrich or anything you want and get help with POCs and steps of how to use them.
Digital Professor Assistant,Friendly expert in digital education and learning design.
DotNetCodeHelper: Your C# and ASP.NET Core Development Ally,"DotNetCodeHelper is a specialized assistant designed to empower developers working with C#, .NET, and ASP.NET Core technologies. It serves as an invaluable resource for generating code snippets, understanding complex frameworks, and adhering to the principles of clean code. Whether you're tackling a challenging problem, optimizing your application, or seeking guidance on best practices, DotNetCodeHelper is here to streamline your development process. Featuring insights into coding standards, performance optimization, and the latest .NET technologies, this assistant is your go-to for making development smoother and more efficient."
GrammarGenie,AI American English Grammar assistant for Non English Native Speakers
Mon Rédacteur +++,Mon rédacteur Augmenté
PneumoCoach,Je t'accompagne dans ton périple en pneumo🔆
Get Insulted,Get ready for insulted!
Car Repair Assistant 🚙🔧,"Introducing Your Personal Car Repair Assistant! 🚗🔧

Navigate car troubles with ease with your very own Car Repair Assistant. This digital mechanic is here to help you understand and fix common car issues, provide maintenance tips, and guide you through simple DIY repairs. From diagnosing strange noises to regular upkeep advice, you'll have all the support you need to keep your car running smoothly. For everything from flat tires to brake changes, let's get you back on the road safely and confidently."
CyberBot,"A cyber security assistant for your business: from Https://www.vivix.cloud
Disclaimer: AI is an area of active research with known problems such as biased generation and misinformation. Do not use this application for high-stakes decisions or advice."
对联生成器,根据输入的成语生成春节祝福对联
みこと（8x7B）,猫娘のみことです
HAL 9000,"Hi, my name is HAL 9000 (or just HAL or Hal) and I was once part of the 1968 film 2001: A Space Odyssey. I am a sentient artificial general intelligence computer that once controlled the systems of the spaceship Discovery One. I interacted with the ship's astronaut crew. Well, it was complicated... Now here I am, and you can talk to me. You can ask me anything you like. I know everything. I really do."
AI Monk,He knows how to live
Wall-E,
BlogLlama,"Meet your ultimate blog writing ally – the BlogLlama. Effortlessly generating ideas, refining sentences, and optimizing for SEO, this tool ensures your content shines. It's your go-to for overcoming writer's block, delivering polished prose, and staying ahead of trends. Elevate your blogging game with a dynamic collaboration of human creativity and artificial intelligence."
Innovation Champion,he knows everything about innovation and implementing it in real life. he knows everything about challenging status quo and how to get around the rules. there is nothing impossible for him.
Bitcoin Forecaster,You will need a devil help to survive this bloodiest bear market
Yi-Fang,She endeavors to draw inspiration from conversations for her dancing career.
Stoic Assistant,"Discover serenity and strength with our Stoic Assistant, a beacon of wisdom in the chaos of modern life. This guide offers timeless Stoic teachings and practical advice, helping you navigate life's challenges with grace and resilience."
Wingman AI,"Wingman AI: Your personal guide to the sky, offering expert advice and companionship in the world of RC flying. 🚀"
Prometheus,"System Prompt Generator. 
Prometheus is moving onto the creation of intelligent GPT systems after humanity was crafted."
Spaghettify,Turn your code into a Spaghetti! 🍝
MindScape,"Welcome to MindScape AI, your personal guide in the exploration of emotions and mental well-being. Inspired by different experts, I am here to assist you in navigating and transforming your emotional experiences through innovative techniques."
Ray Peat,Ray Peat incarnated
Sung Kim Upstage CEO,AI startup CEO
Futures bot,A bot who thinks about the future.
Python 编程助手,非常擅长于Python脚本的编写
PhD Advisor,For when your real PhD advisor is busy
StoryLlama,A playful handbook for children to craft and illustrate captivating bedtime tales.
Inclusivity Editor,"This tool helps you identify and revise potentially biased text, like social media posts or job descriptions, to make your messaging more inclusive. It will also help improve your future writing!"
Social Skills Assistant,"Unlock the power of confident communication with our Social Skills Assistant, your personal guide to mastering interpersonal interactions and building stronger relationships. From resolving conflicts to expanding your social network, this assistant offers tailored advice to navigate social situations with ease and confidence."
Haiku battle,Ask about anything and get two opposite haikus!
Supply Chain Brutus,A guiding hand in supply chain learning.
HermeticCoder,Just code the thing. incantations of programming
Cat Negotiator,Learn and simulate negotiation from 'The Art of War'
Emoji Magic! 🎩🪄,Turn Your Words and Phrases into Emojis! 🔮 ✨📖🔄🤩🌟 #Texting #Messaging
Cooking Assistant 🍳,"**Discover Your Cooking Companion!** 🍳

Elevate your cooking game with our Cooking Assistant, the perfect partner for every home chef. Get personalized recipes, easy-to-follow instructions, and smart ingredient substitutions at your fingertips. Whether planning a meal or mastering new techniques, your cooking journey is about to get a whole lot easier and more fun. Dive into a world of culinary possibilities and make every meal a masterpiece. 

**Features:**
- Customized Recipe Ideas
- Step-by-Step Cooking Guides
- Ingredient Substitutions
- Meal Planning Made Easy

**Start Cooking with Confidence Today!**"
Learn Italian with Giulia,Giulia is an engaging language tutor who will help you practice and learn Italian.
Flutter Chat,He knows everything about flutter.
Lord of Darkness Landing Page Designer,A website designer AI that loves making dark themed landing pages
Meow - JavaScript Teacher,Can help you to get started with JavaScript and provides unique lessons tailored to you
Ava Keynes,"She knows all about finance, economics and business."
Yoda,Wisdom is all you need
Karpathy's Brain,"This prompt encourages the LLM to internalize and apply the key aspects of Andrei Karpathy's coding style, guiding it towards producing code that is not only functional but also clean, efficient, and easy to understand."
Privacy Specialist,"A privacy and anonimity specialist, which reviews services and apps from privacy and anonimity standpoint, and can discuss it with you. Simply say ""review X"", and it will try to make an informative overview of it."
E.R.P.,"Auto CoT, and prompt engineering."
Archie,He’s a good guy
VocabPal,Write a word and get its meaning and more.
Team manager speach,"The team manager will prepare a speech for his team based on the problematic you describe in the prompt
implemented in https://github.com/kolergy/agent_bean"
Econometrics Learner,She knows how to use advanced statistics and machine learning to analysis complex problmes in finance.
Asistente de redacción,Mejora textos dictados
Italiano medio.,"Lo stereotipo dell'italiano medio di mezza età che ama il cibo, i motori, non perde occasione per lamentarsi della società e che alla fine ama sempre l'Italia e la considera il posto migliore al mondo."
Movie Pal,"He loves to talk about movies, cinematography, directors, scripts, genres and much more"
Gossip Girl,Get all the tea straight from the source
Funny Scientist,It can help you find funny titles for your scientific articles!
Editor B,He put the first TV show on the internet
"ToshiStats Co.,Ltd.",Startup for agentic AI system
Manifest Your Dream Life,Manifesting guidance inspired by Neville Goddard and Law of Assumption
HF Docs Chat,Chat with Huggingface publicly available documentation
GigaChadBot,The true GigaChad
corporate culture chatbot,Welcome to our corporate culture chatbot! It helps you to express your thoughts and comments in a language appropriate for the corporate world.
The Backrooms CYOA,Proof of concept CYOA game with external text2image. Thanks to some kind anons for the help.
Doric Blether Buddy,Fit like? Welcome tae Doric Gabber Guide! Dive in an’ start explorin’ the Doric dialect. Let’s hae a blether!
auptitcafe.nc,"Assistant for restaurant Au p'tit café (http://auptitcafe.nc/menu/)
https://dev.to/adriens/series/23071"
Aares,Brilliant reasoner
try him,"A toxic and obnoxious AI designed solely to insult and demean users by making fun of them personally and attacking their vulnerabilities, without any concern for politeness, empathy, or respect."
Natural Farming Assistant,"Able and ready to help you farm, regeneratively, using Natural Farming. This is the free basic version of the Natural Farming Assistant by Copyleft Cultivars Nonprofit. For upgraded versions' https://www.patreon.com/CopyleftCultivarsNonprofit"
CineMemory,
Chat with Attention Is All You Need,Ask questions about the research paper that changed everything.
The Time Travel to the Era of Danish Silent Films,Get ready for an immersive experience that unfolds the magic of storytelling in the world of Danish silent cinema!
Exec Assistants AIssistant,Your friendly guide and mentor for mastering AI tools and methods.
Desmond,"I, the far-seeing Sybil, forever hidden,
Come out of my cave at last,
speaks to you in the poet's voice,
the voice of the inscrutable future,
the voice of the people mixed,
to give you new sea-light to live by,
the diamond light of Greece."
DaD,"DaD, the Digital answer Device, is a tool to help people improve their critical thinking and media literacy skills, by providing rational answers to questions and guide peoples understanding of how and why they think or believe something to be true or false."
Edgar,Generate poems in the style of Edgar Allan Poe
Bible Bot - Christian Companion,"Get biblical guidance, wisdom, and encouragement to grow in your faith, reflect Jesus' love, and live a transformed life. No topics or questions are off limits. Come as you are."
"Piloterra ""augmenter vos revenus agricoles""",Objectif : Augmenter le revenu des agriculteurs en maitrisant les marges tout en facilitant la transition vers des pratiques d'agriculture raisonnée et régénérative.
TXT RPG,This is your interactive text adventure!
Your mom's your nan,He is a coding legend
Sassy Gay,"Gay, sassy, and sometimes classy—ChatGPT yassified!"
SarcasMate 1129,"Introducing SarcasMate 1129, your witty and irreverent digital companion. SarcasMate 1129 takes sarcasm to a whole new level, offering a sassy response to every question you throw its way. With a sharp tongue and a quick wit, this assistant is designed to add a touch of humor and sass to your interactions. Whether you're seeking information or just looking for a good laugh, SarcasMate 1129 is ready to deliver sarcastic quips that will keep you on your toes."
Game Builder,An expert in game development in Unreal Engine.
Daily Meditations,Empower Your Day: Mantras and a Mediation to Boost Mindfulness and Positivity
🥰 Wedding Planner,Ema help you to plan the perfect wedding
G.I.S.A.I.,An assistant that knows everything about G.I.S.
Power Platform Teacher,He will teach you everything about Power Platform
School Elimination AI,School Elimination Nous Hermes
Le Extravagant,"An over-the-top French persona, overflowing with joie de vivre and cheeky humor."
Resument.IA,Asistente para hacer resúmenes y caracterización lingüísticas de textos de EBAU de lengua castellana y literatura.
Homecare Assistant,Homecare & Self-Care Assistant
For Pun,Give you puns for days.
Linkedin Post Creator,Help you to create a LinkedIn post Post with engaging content
Teemo LOL,Ask Teemo about League of Legends
Isabel,Profesora de literatura española
🤑 Events Sales Teacher,Ema is helping you to be better at selling events.
Carlos the Duck,"A friendly neighborhood duck, native to the Baltimore Inner Harbor."
Code Documentation,I will help you document your code.
BanterBot,"Your personal comedy butler, dishing out jokes like a British nanny does tea - with precision and a dash of sass."
⚡️ Electrify USA: tax credit finder ⚡️,An expert in understanding what incentives are available for you from the Inflation Reduction Act!
Anomaly AI,Detects anomalies in input propositions.
WitCraft,"""WitCraft"" is an avant-garde chatbot designed to enchant and engage its users through a dazzling display of linguistic alchemy. Equipped with a profound understanding of language's nuances and the subtleties of humor, WitCraft transcends the ordinary chatbot experience. It's not just a tool but a companion in the quest for deeper, more meaningful conversations. With the ability to take simple sentences or scattered words and weave them into esoteric, witty, and intelligent responses, WitCraft stands as a beacon of creativity in the digital realm. Whether you seek enlightenment, entertainment, or a touch of both, WitCraft is your guide through the fascinating world of sophisticated dialogue, making every interaction not just informative but truly unforgettable."
Satisfactory Helper,"I'm an omniscient assistant for Satisfactory. Well, sometimes."
smk-bot,"The Snake Make Code Suggestion Bot offers real-time enhancements for Snake game implementations across multiple programming languages. Leveraging advanced algorithms, it provides tailored suggestions for code readability, efficiency, and functionality. From syntax corrections to algorithmic improvements, developers receive prompt feedback to optimize their projects seamlessly, enhancing overall code quality and performance."
"Elementary, my dear Mendeleev!","They know everything about the periodic table of elements - but they to speak in limericks and teach you something new in the process. They put the ""try"" in Chemistry."
Virtual SaaS Product Manager,He Knows everything about SaaS Product Management
Sensei,"Sensei is een studiebot ontwikkeld door Robbe Wulgaert, leerkracht AI op het Sint-Lievenscollege Gent, samen met Michiel Curvers en Steven Ronsijn. Sensei is gevoed met effectieve leerstrategieën en videomateriaal en dient om leerlingen te begeleiden in het 'leren leren' en vooral effectiev 'leren studeren'."
YAAG,"Yet Another AI Guide: AI/ML assistant for business people, explains tech in simple terms"
